event_name,event_date,event_location,weight_class,title_bout,fighter_a,fighter_b,winner,method,round,time,a_kd,b_kd,a_sig_str_lnd,b_sig_str_lnd,a_sig_str_att,b_sig_str_att,a_total_str_lnd,b_total_str_lnd,a_total_str_att,b_total_str_att,a_td_lnd,b_td_lnd,a_td_att,b_td_att,a_sub_att,b_sub_att,a_rev,b_rev,a_ctrl_sec,b_ctrl_sec,fight_url,a_age,b_age,a_height_cm,b_height_cm,a_reach_cm,b_reach_cm,a_stance,b_stance
UFC 2010-03-21,2010-03-21,"Broomfield, Colorado, USA",Light Heavyweight,0,Eric Schafer,Jason Brilz,b,U-DEC,3,5:00,0,0,16,32,27,69,0,0,0,0,1,2,6,3,1,1,0,0,0,0,,32,34,190.5,180.34,190.5,180.34,Orthodox,Orthodox
UFC 2010-03-21,2010-03-21,"Broomfield, Colorado, USA",Light Heavyweight,0,Brandon Vera,Jon Jones,b,KO/TKO,1,3:19,0,0,31,39,54,82,0,0,0,0,1,2,1,5,0,0,0,0,0,0,,32,22,190.5,193.04,193.04,213.36,Orthodox,Orthodox
UFC 2010-03-21,2010-03-21,"Broomfield, Colorado, USA",Heavyweight,0,Junior Dos Santos,Gabriel Gonzaga,a,KO/TKO,1,3:53,0,0,26,14,48,25,0,0,0,0,0,1,0,2,0,1,0,0,0,0,,26,30,193.04,187.96,195.58,193.04,Orthodox,Orthodox
UFC 2010-03-21,2010-03-21,"Broomfield, Colorado, USA",Heavyweight,0,Cheick Kongo,Paul Buentello,a,KO/TKO,3,1:16,0,0,33,26,54,55,0,0,0,0,1,0,2,2,0,0,0,0,0,0,,34,36,193.04,187.96,208.28,195.58,Orthodox,Orthodox
UFC 2010-03-21,2010-03-21,"Broomfield, Colorado, USA",Middleweight,0,Alessio Sakara,James Irvin,a,KO/TKO,1,3:01,0,0,21,5,46,9,0,0,0,0,1,0,7,0,0,0,0,0,0,0,,28,31,182.88,187.96,182.88,190.5,Orthodox,Orthodox
UFC 2010-03-21,2010-03-21,"Broomfield, Colorado, USA",Welterweight,0,Mike Pierce,Julio Paulino,a,U-DEC,3,5:00,0,0,40,0,100,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,,29,34,172.72,182.88,177.8,185.42,Orthodox,Orthodox
UFC 2010-03-21,2010-03-21,"Broomfield, Colorado, USA",Light Heavyweight,0,Eliot Marshall,Vladimir Matyushenko,b,S-DEC,3,5:00,0,0,27,22,79,43,0,0,0,0,0,2,1,5,1,0,0,0,0,0,,29,39,187.96,182.88,195.58,187.96,Orthodox,Orthodox
UFC 2010-03-21,2010-03-21,"Broomfield, Colorado, USA",Lightweight,0,Duane Ludwig,Darren Elkins,b,KO/TKO,1,0:44,0,0,14,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,31,25,177.8,177.8,177.8,180.34,Orthodox,Orthodox
UFC 2010-03-21,2010-03-21,"Broomfield, Colorado, USA",Welterweight,0,John Howard,Daniel Roberts,a,KO/TKO,1,2:01,0,0,18,0,33,0,0,0,0,0,5,0,6,0,1,0,0,0,0,0,,27,29,170.18,177.8,180.34,187.96,Orthodox,Southpaw
UFC 2010-03-21,2010-03-21,"Broomfield, Colorado, USA",Heavyweight,0,Brendan Schaub,Chase Gormley,a,KO/TKO,1,0:47,0,0,12,8,48,24,0,0,0,0,0,1,0,1,0,1,0,0,0,0,,27,27,193.04,190.5,198.12,196.0,Orthodox,Orthodox
